10150268.xml	DDI-MedLine.d78.s0	NO_SECTION	NO_SETID	9
10	50	51	O	10
11	53	54	O	mg
12	55	55	O	/
13	56	57	O	kg
14	58	58	O	,
15	60	64	O	twice
16	66	66	O	a
17	68	70	O	day
18	72	74	O	for
19	76	76	O	5
20	78	81	O	days
21	83	90	O	followed
22	92	93	O	by
23	95	95	O	a
24	97	98	O	14
25	100	102	O	day
26	104	113	O	withdrawal
27	115	115	O	,
28	117	119	O	the
29	121	123	O	LST
30	125	128	O	mice
31	130	135	O	showed
32	137	145	O	tolerance
33	147	157	O	development
NULL

11085333.xml	DDI-MedLine.d98.s4	NO_SECTION	NO_SETID	19
In response to cocaine, the locomotor activities of the SST were not significantly different from the RBC group.
1	0	1	O	In
2	3	10	O	response
3	12	13	O	to
4	15	21	U-UNK	cocaine
5	22	22	O	,
6	24	26	O	the
7	28	36	O	locomotor
8	38	47	O	activities
9	49	50	O	of
10	52	54	O	the
11	56	58	O	SST
12	60	63	O	were
13	65	67	O	not
14	69	81	O	significantly
15	83	91	O	different
16	93	96	O	from
17	98	100	O	the
18	102	104	O	RBC
19	106	110	O	group
NULL

11085333.xml	DDI-MedLine.d98.s5	NO_SECTION	NO_SETID	45
At a higher dose and a shorter withdrawal period (20 mg/kg, daily for 7 days followed by a 3-day withdrawal), the SST mice showed behavioral sensitization similar to the RBC mice, but the LST mice did not develop sensitization.
1	0	1	O	At
2	3	3	O	a
3	5	10	O	higher
4	12	15	O	dose
5	17	19	O	and
6	21	21	O	a
7	23	29	O	shorter
8	31	40	O	withdrawal
9	42	47	O	period
10	50	51	O	20
11	53	54	O	mg
12	55	55	O	/
13	56	57	O	kg
14	58	58	O	,
15	60	64	O	daily
16	66	68	O	for
17	70	70	O	7
18	72	75	O	days
19	77	84	O	followed
20	86	87	O	by
21	89	89	O	a
22	91	91	O	3
23	93	95	O	day
24	97	106	O	withdrawal
25	108	108	O	,
26	110	112	O	the
27	114	116	O	SST
28	118	121	O	mice
29	123	128	O	showed
30	130	139	O	behavioral
31	141	153	O	sensitization
32	155	161	O	similar
33	163	164	O	to
34	166	168	O	the
35	170	172	O	RBC
36	174	177	O	mice
37	178	178	O	,
38	180	182	O	but
39	184	186	O	the
40	188	190	O	LST
41	192	195	O	mice
42	197	199	O	did
43	201	203	O	not
44	205	211	O	develop
45	213	225	O	sensitization
NULL

11085333.xml	DDI-MedLine.d98.s6	NO_SECTION	NO_SETID	26
The different responses in locomotor activity induced by cocaine suggest that genetic factors may play a role in determining the magnitude of response to this drug.
1	0	2	O	The
2	4	12	O	different
3	14	22	O	responses
4	24	25	O	in
5	27	35	O	locomotor
6	37	44	O	activity
7	46	52	O	induced
8	54	55	O	by
9	57	63	U-UNK	cocaine
10	65	71	O	suggest
11	73	76	O	that
12	78	84	O	genetic
13	86	92	O	factors
14	94	96	O	may
15	98	101	O	play
16	103	103	O	a
17	105	108	O	role
18	110	111	O	in
19	113	123	O	determining
20	125	127	O	the
21	129	137	O	magnitude
22	139	140	O	of
23	142	149	O	response
24	151	152	O	to
25	154	157	O	this
26	159	162	O	drug
NULL

11085333.xml	DDI-MedLine.d98.s7	NO_SECTION	NO_SETID	26
Dopamine (DA) levels did not differ significantly in either striatum (STR) or nucleus accumbens (NAC) for the cocaine-treated animals to their corresponding saline-treated controls.
1	0	7	O	Dopamine
2	10	11	O	DA
3	14	19	O	levels
4	21	23	O	did
5	25	27	O	not
6	29	34	O	differ
7	36	48	O	significantly
8	50	51	O	in
9	53	58	O	either
10	60	67	O	striatum
11	70	72	O	STR
12	75	76	O	or
13	78	84	O	nucleus
14	86	94	O	accumbens
15	97	99	O	NAC
16	102	104	O	for
17	106	108	O	the
18	110	116	U-UNK	cocaine
19	118	124	O	treated
20	126	132	O	animals
21	134	135	O	to
22	137	141	O	their
23	143	155	O	corresponding
24	157	162	O	saline
25	164	170	O	treated
26	172	179	O	controls
NULL

11085333.xml	DDI-MedLine.d98.s8	NO_SECTION	NO_SETID	25
The affinity (Kd) of D2 in the NAC decreased significantly, without changes in density (Bmax), in the cocaine-treated SST and RBC mice.
1	0	2	O	The
2	4	11	O	affinity
3	14	15	O	Kd
4	18	19	O	of
5	21	22	O	D2
6	24	25	O	in
7	27	29	O	the
8	31	33	O	NAC
9	35	43	O	decreased
10	45	57	O	significantly
11	58	58	O	,
12	60	66	O	without
13	68	74	O	changes
14	76	77	O	in
15	79	85	O	density
16	88	91	O	Bmax
17	93	93	O	,
18	95	96	O	in
19	98	100	O	the
20	102	108	U-UNK	cocaine
21	110	116	O	treated
22	118	120	O	SST
23	122	124	O	and
24	126	128	O	RBC
25	130	133	O	mice
NULL

11085333.xml	DDI-MedLine.d98.s9	NO_SECTION	NO_SETID	32
On the other hand, the density of D2 binding sites in the SST and the RBC mice in the STR was significantly increased in cocaine-treated groups without change in Kd.
1	0	1	O	On
2	3	5	O	the
3	7	11	O	other
4	13	16	O	hand
5	17	17	O	,
6	19	21	O	the
7	23	29	O	density
8	31	32	O	of
9	34	35	O	D2
10	37	43	O	binding
11	45	49	O	sites
12	51	52	O	in
13	54	56	O	the
14	58	60	O	SST
15	62	64	O	and
16	66	68	O	the
17	70	72	O	RBC
18	74	77	O	mice
19	79	80	O	in
20	82	84	O	the
21	86	88	O	STR
22	90	92	O	was
23	94	106	O	significantly
24	108	116	O	increased
25	118	119	O	in
26	121	127	U-UNK	cocaine
27	129	135	O	treated
28	137	142	O	groups
29	144	150	O	without
30	152	157	O	change
31	159	160	O	in
32	162	163	O	Kd
NULL

11085333.xml	DDI-MedLine.d98.s10	NO_SECTION	NO_SETID	20
The LST mice did not show any changes in the Kd and Bmax in either the STR or the NAC.
1	0	2	O	The
2	4	6	O	LST
3	8	11	O	mice
4	13	15	O	did
5	17	19	O	not
6	21	24	O	show
7	26	28	O	any
8	30	36	O	changes
9	38	39	O	in
10	41	43	O	the
11	45	46	O	Kd
12	48	50	O	and
13	52	55	O	Bmax
14	57	58	O	in
15	60	65	O	either
16	67	69	O	the
17	71	73	O	STR
18	75	76	O	or
19	78	80	O	the
20	82	84	O	NAC
NULL

11085333.xml	DDI-MedLine.d98.s11	NO_SECTION	NO_SETID	40
Taken together, these findings suggest that the changes in the Kd of D2 in the NAC and the Bmax of D2 in the STR may contribute to the differences in locomotor responses to cocaine exposure in these mouse lines.
1	0	4	O	Taken
2	6	13	O	together
3	14	14	O	,
4	16	20	O	these
5	22	29	O	findings
6	31	37	O	suggest
7	39	42	O	that
8	44	46	O	the
9	48	54	O	changes
10	56	57	O	in
11	59	61	O	the
12	63	64	O	Kd
13	66	67	O	of
14	69	70	O	D2
15	72	73	O	in
16	75	77	O	the
17	79	81	O	NAC
18	83	85	O	and
19	87	89	O	the
20	91	94	O	Bmax
21	96	97	O	of
22	99	100	O	D2
23	102	103	O	in
24	105	107	O	the
25	109	111	O	STR
26	113	115	O	may
27	117	126	O	contribute
28	128	129	O	to
29	131	133	O	the
30	135	145	O	differences
31	147	148	O	in
32	150	158	O	locomotor
33	160	168	O	responses
34	170	171	O	to
35	173	179	U-UNK	cocaine
36	181	188	O	exposure
37	190	191	O	in
38	193	197	O	these
39	199	203	O	mouse
40	205	209	O	lines
NULL

11085336.xml	DDI-MedLine.d110.s0	NO_SECTION	NO_SETID	18
18-Methoxycoronaridine (18-MC) and ibogaine: comparison of antiaddictive efficacy, toxicity, and mechanisms of action.
1	0	1	B-UNK	18
2	3	21	L-UNK	Methoxycoronaridine
3	24	25	B-UNK	18
4	27	28	L-UNK	MC
5	31	33	O	and
6	35	42	U-UNK	ibogaine
7	43	43	O	:
8	45	54	O	comparison
9	56	57	O	of
10	59	71	O	antiaddictive
11	73	80	O	efficacy
12	81	81	O	,
13	83	90	O	toxicity
14	91	91	O	,
15	93	95	O	and
16	97	106	O	mechanisms
17	108	109	O	of
18	111	116	O	action
NULL

11085336.xml	DDI-MedLine.d110.s1	NO_SECTION	NO_SETID	22
18-MC, a novel iboga alkaloid congener, is being developed as a potential treatment for multiple forms of drug abuse.
1	0	1	B-UNK	18
2	3	4	L-UNK	MC
3	5	5	O	,
4	7	7	O	a
5	9	13	O	novel
6	15	19	O	iboga
7	21	28	O	alkaloid
8	30	37	O	congener
9	38	38	O	,
10	40	41	O	is
11	43	47	O	being
12	49	57	O	developed
13	59	60	O	as
14	62	62	O	a
15	64	72	O	potential
16	74	82	O	treatment
17	84	86	O	for
18	88	95	O	multiple
19	97	101	O	forms
20	103	104	O	of
21	106	109	O	drug
22	111	115	O	abuse
NULL

11085336.xml	DDI-MedLine.d110.s2	NO_SECTION	NO_SETID	33
Like ibogaine (40 mg/kg), 18-MC (40 mg/kg) decreases the intravenous self-administration of morphine and cocaine and the oral self-administration of ethanol and nicotine in rats;
1	0	3	O	Like
2	5	12	U-UNK	ibogaine
3	15	16	O	40
4	18	19	O	mg
5	20	20	O	/
6	21	22	O	kg
7	24	24	O	,
8	26	27	B-UNK	18
9	29	30	L-UNK	MC
10	33	34	O	40
11	36	37	O	mg
12	38	38	O	/
13	39	40	O	kg
14	43	51	O	decreases
15	53	55	O	the
16	57	67	O	intravenous
17	69	72	O	self
18	74	87	O	administration
19	89	90	O	of
20	92	99	U-UNK	morphine
21	101	103	O	and
22	105	111	U-UNK	cocaine
23	113	115	O	and
24	117	119	O	the
25	121	124	O	oral
26	126	129	O	self
27	131	144	O	administration
28	146	147	O	of
29	149	155	U-UNK	ethanol
30	157	159	O	and
31	161	168	U-UNK	nicotine
32	170	171	O	in
33	173	176	O	rats
NULL

11085336.xml	DDI-MedLine.d110.s3	NO_SECTION	NO_SETID	14
unlike ibogaine, 18-MC does not affect responding for a nondrug reinforcer (water).
1	0	5	O	unlike
2	7	14	U-UNK	ibogaine
3	15	15	O	,
4	17	18	B-UNK	18
5	20	21	L-UNK	MC
6	23	26	O	does
7	28	30	O	not
8	32	37	O	affect
9	39	48	O	responding
10	50	52	O	for
11	54	54	O	a
12	56	62	O	nondrug
13	64	73	O	reinforcer
14	76	80	O	water
NULL

11085336.xml	DDI-MedLine.d110.s4	NO_SECTION	NO_SETID	9
Both ibogaine and 18-MC ameliorate opioid withdrawal signs.
1	0	3	O	Both
2	5	12	U-UNK	ibogaine
3	14	16	O	and
4	18	19	B-UNK	18
5	21	22	L-UNK	MC
6	24	33	O	ameliorate
7	35	40	U-UNK	opioid
8	42	51	O	withdrawal
9	53	57	O	signs
NULL

11085336.xml	DDI-MedLine.d110.s5	NO_SECTION	NO_SETID	27
Both ibogaine and 18-MC decrease extracellular levels of dopamine in the nucleus accumbens, but only ibogaine increases extracellular levels of serotonin in the nucleus accumbens.
1	0	3	O	Both
2	5	12	U-UNK	ibogaine
3	14	16	O	and
4	18	19	B-UNK	18
5	21	22	L-UNK	MC
6	24	31	O	decrease
7	33	45	O	extracellular
8	47	52	O	levels
9	54	55	O	of
10	57	64	O	dopamine
11	66	67	O	in
12	69	71	O	the
13	73	79	O	nucleus
14	81	89	O	accumbens
15	90	90	O	,
16	92	94	O	but
17	96	99	O	only
18	101	108	U-UNK	ibogaine
19	110	118	O	increases
20	120	132	O	extracellular
21	134	139	O	levels
22	141	142	O	of
23	144	152	O	serotonin
24	154	155	O	in
25	157	159	O	the
26	161	167	O	nucleus
27	169	177	O	accumbens
NULL

11085336.xml	DDI-MedLine.d110.s6	NO_SECTION	NO_SETID	17
Both ibogaine and 18-MC block morphine-induced and nicotine-induced dopamine release in the nucleus accumbens;
1	0	3	O	Both
2	5	12	U-UNK	ibogaine
3	14	16	O	and
4	18	19	B-UNK	18
5	21	22	L-UNK	MC
6	24	28	O	block
7	30	37	U-UNK	morphine
8	39	45	O	induced
9	47	49	O	and
10	51	58	U-UNK	nicotine
11	60	66	O	induced
12	68	75	O	dopamine
13	77	83	O	release
14	85	86	O	in
15	88	90	O	the
16	92	98	O	nucleus
17	100	108	O	accumbens
NULL

11085336.xml	DDI-MedLine.d110.s7	NO_SECTION	NO_SETID	9
only ibogaine enhances cocaine-induced increases in accumbal dopamine.
1	0	3	O	only
2	5	12	U-UNK	ibogaine
3	14	21	O	enhances
4	23	29	U-UNK	cocaine
5	31	37	O	induced
6	39	47	O	increases
7	49	50	O	in
8	52	59	O	accumbal
9	61	68	O	dopamine
NULL

11085336.xml	DDI-MedLine.d110.s8	NO_SECTION	NO_SETID	15
Both ibogaine and 18-MC enhance the locomotor and/or stereotypic effects of stimulants.
1	0	3	O	Both
2	5	12	U-UNK	ibogaine
3	14	16	O	and
4	18	19	B-UNK	18
5	21	22	L-UNK	MC
6	24	30	O	enhance
7	32	34	O	the
8	36	44	O	locomotor
9	46	48	O	and
10	49	49	O	/
11	50	51	O	or
12	53	63	O	stereotypic
13	65	71	O	effects
14	73	74	O	of
15	76	85	O	stimulants
NULL

11085336.xml	DDI-MedLine.d110.s9	NO_SECTION	NO_SETID	14
Ibogaine attenuates, but 18-MC potentiates, the acute locomotor effects of morphine;
1	0	7	U-UNK	Ibogaine
2	9	18	O	attenuates
3	19	19	O	,
4	21	23	O	but
5	25	26	B-UNK	18
6	28	29	L-UNK	MC
7	31	41	O	potentiates
8	42	42	O	,
9	44	46	O	the
10	48	52	O	acute
11	54	62	O	locomotor
12	64	70	O	effects
13	72	73	O	of
14	75	82	U-UNK	morphine
NULL

11085336.xml	DDI-MedLine.d110.s10	NO_SECTION	NO_SETID	10
both compounds attenuate morphine-induced locomotion in morphine-experienced rats.
1	0	3	O	both
2	5	13	O	compounds
3	15	23	O	attenuate
4	25	32	U-UNK	morphine
5	34	40	O	induced
6	42	51	O	locomotion
7	53	54	O	in
8	56	63	U-UNK	morphine
9	65	75	O	experienced
10	77	80	O	rats
NULL

11085336.xml	DDI-MedLine.d110.s11	NO_SECTION	NO_SETID	20
Ibogaine produces whole body tremors and, at high doses (> or = 100 mg/kg), cerebellar damage;
1	0	7	U-UNK	Ibogaine
2	9	16	O	produces
3	18	22	O	whole
4	24	27	O	body
5	29	35	O	tremors
6	37	39	O	and
7	40	40	O	,
8	42	43	O	at
9	45	48	O	high
10	50	54	O	doses
11	57	57	O	>
12	59	60	O	or
13	62	62	O	=
14	64	66	O	100
15	68	69	O	mg
16	70	70	O	/
17	71	72	O	kg
18	74	74	O	,
19	76	85	O	cerebellar
20	87	92	O	damage
NULL

11085336.xml	DDI-MedLine.d110.s12	NO_SECTION	NO_SETID	7
18-MC does not produce these effects.
1	0	1	B-UNK	18
2	3	4	L-UNK	MC
3	6	9	O	does
4	11	13	O	not
5	15	21	O	produce
6	23	27	O	these
7	29	35	O	effects
NULL

11085336.xml	DDI-MedLine.d110.s13	NO_SECTION	NO_SETID	13
Ibogaine, but not 18-MC, decreases heart rate at high doses.
1	0	7	U-UNK	Ibogaine
2	8	8	O	,
3	10	12	O	but
4	14	16	O	not
5	18	19	B-UNK	18
6	21	22	L-UNK	MC
7	23	23	O	,
8	25	33	O	decreases
9	35	39	O	heart
10	41	44	O	rate
11	46	47	O	at
12	49	52	O	high
13	54	58	O	doses
NULL

11085336.xml	DDI-MedLine.d110.s14	NO_SECTION	NO_SETID	39
While 18-MC and ibogaine have similar affinities for kappa opioid and possibly nicotinic receptors, 18-MC has much lower affinities than ibogaine for NMDA and sigma-2 receptors, sodium channels, and the 5-HT transporter.
1	0	4	O	While
2	6	7	B-UNK	18
3	9	10	L-UNK	MC
4	12	14	O	and
5	16	23	U-UNK	ibogaine
6	25	28	O	have
7	30	36	O	similar
8	38	47	O	affinities
9	49	51	O	for
10	53	57	O	kappa
11	59	64	O	opioid
12	66	68	O	and
13	70	77	O	possibly
14	79	87	O	nicotinic
15	89	97	O	receptors
16	98	98	O	,
17	100	101	B-UNK	18
18	103	104	L-UNK	MC
19	106	108	O	has
20	110	113	O	much
21	115	119	O	lower
22	121	130	O	affinities
23	132	135	O	than
24	137	144	U-UNK	ibogaine
25	146	148	O	for
26	150	153	O	NMDA
27	155	157	O	and
28	159	163	O	sigma
29	165	165	O	2
30	167	175	O	receptors
31	176	176	O	,
32	178	183	O	sodium
33	185	192	O	channels
34	193	193	O	,
35	195	197	O	and
36	199	201	O	the
37	203	203	O	5
38	205	206	O	HT
39	208	218	O	transporter
NULL

11085336.xml	DDI-MedLine.d110.s15	NO_SECTION	NO_SETID	21
Both 18-MC and ibogaine are sequestered in fat and, like ibogaine, 18-MC probably has an active metabolite.
1	0	3	O	Both
2	5	6	B-UNK	18
3	8	9	L-UNK	MC
4	11	13	O	and
5	15	22	U-UNK	ibogaine
6	24	26	O	are
7	28	38	O	sequestered
8	40	41	O	in
9	43	45	O	fat
10	47	49	O	and
11	50	50	O	,
12	52	55	O	like
13	57	64	U-UNK	ibogaine
14	65	65	O	,
15	67	68	B-UNK	18
16	70	71	L-UNK	MC
17	73	80	O	probably
18	82	84	O	has
19	86	87	O	an
20	89	94	O	active
21	96	105	O	metabolite
NULL

11085336.xml	DDI-MedLine.d110.s16	NO_SECTION	NO_SETID	22
The data suggest that 18-MC has a narrower spectrum of actions and will have a substantially greater therapeutic index than ibogaine.
1	0	2	O	The
2	4	7	O	data
3	9	15	O	suggest
4	17	20	O	that
5	22	23	B-UNK	18
6	25	26	L-UNK	MC
7	28	30	O	has
8	32	32	O	a
9	34	41	O	narrower
10	43	50	O	spectrum
11	52	53	O	of
12	55	61	O	actions
13	63	65	O	and
14	67	70	O	will
15	72	75	O	have
16	77	77	O	a
17	79	91	O	substantially
18	93	99	O	greater
19	101	111	O	therapeutic
20	113	117	O	index
21	119	122	O	than
22	124	131	U-UNK	ibogaine
NULL

1109248.xml	DDI-MedLine.d106.s0	NO_SECTION	NO_SETID	8
Clinical implications of warfarin interactions with five sedatives.
1	0	7	O	Clinical
2	9	20	O	implications
3	22	23	O	of
4	25	32	U-UNK	warfarin
5	34	45	O	interactions
6	47	50	O	with
7	52	55	O	five
8	57	65	U-UNK	sedatives
NULL

1109248.xml	DDI-MedLine.d106.s1	NO_SECTION	NO_SETID	30
The intensity, uniformity and time course of anticoagulant interference by phenobarbital, secobarbital, glutethimide, chloral hydrate and methaqualone were systematically investigated in 16 patients receiving coumarin therapy.
1	0	2	O	The
2	4	12	O	intensity
3	13	13	O	,
4	15	24	O	uniformity
5	26	28	O	and
6	30	33	O	time
7	35	40	O	course
8	42	43	O	of
9	45	57	U-UNK	anticoagulant
10	59	70	O	interference
11	72	73	O	by
12	75	87	U-UNK	phenobarbital
13	88	88	O	,
14	90	101	U-UNK	secobarbital
15	102	102	O	,
16	104	115	U-UNK	glutethimide
17	116	116	O	,
18	118	124	B-UNK	chloral
19	126	132	L-UNK	hydrate
20	134	136	O	and
21	138	149	U-UNK	methaqualone
22	151	154	O	were
23	156	169	O	systematically
24	171	182	O	investigated
25	184	185	O	in
26	187	188	O	16
27	190	197	O	patients
28	199	207	O	receiving
29	209	216	U-UNK	coumarin
30	218	224	O	therapy
NULL

1109248.xml	DDI-MedLine.d106.s2	NO_SECTION	NO_SETID	20
Each subject received an individualized fixed daily dose of warfarin and served as his own pre- and postsedative treatment control.
1	0	3	O	Each
2	5	11	O	subject
3	13	20	O	received
4	22	23	O	an
5	25	38	O	individualized
6	40	44	O	fixed
7	46	50	O	daily
8	52	55	O	dose
9	57	58	O	of
10	60	67	U-UNK	warfarin
11	69	71	O	and
12	73	78	O	served
13	80	81	O	as
14	83	85	O	his
15	87	89	O	own
16	91	93	O	pre
17	96	98	O	and
18	100	111	O	postsedative
19	113	121	O	treatment
20	123	129	O	control
NULL

1109248.xml	DDI-MedLine.d106.s3	NO_SECTION	NO_SETID	12
Prothrombin times were measured four times weekly during five long-term experiments.
1	0	10	O	Prothrombin
2	12	16	O	times
3	18	21	O	were
4	23	30	O	measured
5	32	35	O	four
6	37	41	O	times
7	43	48	O	weekly
8	50	55	O	during
9	57	60	O	five
10	62	65	O	long
11	67	70	O	term
12	72	82	O	experiments
NULL

1109248.xml	DDI-MedLine.d106.s4	NO_SECTION	NO_SETID	13
Anticoagulant inhibition was observed during the administration of phenobarbital, secobarbital and glutethimide;
1	0	12	O	Anticoagulant
2	14	23	O	inhibition
3	25	27	O	was
4	29	36	O	observed
5	38	43	O	during
6	45	47	O	the
7	49	62	O	administration
8	64	65	O	of
9	67	79	U-UNK	phenobarbital
10	80	80	O	,
11	82	93	U-UNK	secobarbital
12	95	97	O	and
13	99	110	U-UNK	glutethimide
NULL

1109248.xml	DDI-MedLine.d106.s5	NO_SECTION	NO_SETID	17
there was no significant change in prothrombin test results during the trials of chloral hydrate and methaqualone.
1	0	4	O	there
2	6	8	O	was
3	10	11	O	no
4	13	23	O	significant
5	25	30	O	change
6	32	33	O	in
7	35	45	O	prothrombin
8	47	50	O	test
9	52	58	O	results
10	60	65	O	during
11	67	69	O	the
12	71	76	O	trials
13	78	79	O	of
14	81	87	B-UNK	chloral
15	89	95	L-UNK	hydrate
16	97	99	O	and
17	101	112	U-UNK	methaqualone
NULL

1109248.xml	DDI-MedLine.d106.s6	NO_SECTION	NO_SETID	12
Barbiturates and glutethimide should not be administered to patients receiving coumarin drugs.
1	0	11	U-UNK	Barbiturates
2	13	15	O	and
3	17	28	U-UNK	glutethimide
4	30	35	O	should
5	37	39	O	not
6	41	42	O	be
7	44	55	O	administered
8	57	58	O	to
9	60	67	O	patients
10	69	77	O	receiving
11	79	86	B-UNK	coumarin
12	88	92	L-UNK	drugs
NULL

1109248.xml	DDI-MedLine.d106.s7	NO_SECTION	NO_SETID	19
The concurrent use of drugs from these groups is decreasing according to a survey of 200 hospital medical records.
1	0	2	O	The
2	4	13	O	concurrent
3	15	17	O	use
4	19	20	O	of
5	22	26	O	drugs
6	28	31	O	from
7	33	37	O	these
8	39	44	O	groups
9	46	47	O	is
10	49	58	O	decreasing
11	60	68	O	according
12	70	71	O	to
13	73	73	O	a
14	75	80	O	survey
15	82	83	O	of
16	85	87	O	200
17	89	96	O	hospital
18	98	104	O	medical
19	106	112	O	records
NULL

1109248.xml	DDI-MedLine.d106.s8	NO_SECTION	NO_SETID	19
Chloral hydrate and methaqualone interact pharmacologically with orally administered anticoagulant agents, but the effect is not clinically significant.
1	0	6	B-UNK	Chloral
2	8	14	L-UNK	hydrate
3	16	18	O	and
4	20	31	U-UNK	methaqualone
5	33	40	O	interact
6	42	58	O	pharmacologically
7	60	63	O	with
8	65	70	O	orally
9	72	83	O	administered
10	85	97	B-UNK	anticoagulant
11	99	104	L-UNK	agents
12	105	105	O	,
13	107	109	O	but
14	111	113	O	the
15	115	120	O	effect
16	122	123	O	is
17	125	127	O	not
18	129	138	O	clinically
19	140	150	O	significant
NULL

1109248.xml	DDI-MedLine.d106.s9	NO_SECTION	NO_SETID	23
It is concluded that chloral hydrate and methaqualone may be administered safely without additional caution in prothrombin test monitoring during oral anticoagulant therapy.
1	0	1	O	It
2	3	4	O	is
3	6	14	O	concluded
4	16	19	O	that
5	21	27	B-UNK	chloral
6	29	35	L-UNK	hydrate
7	37	39	O	and
8	41	52	U-UNK	methaqualone
9	54	56	O	may
10	58	59	O	be
11	61	72	O	administered
12	74	79	O	safely
13	81	87	O	without
14	89	98	O	additional
15	100	106	O	caution
16	108	109	O	in
17	111	121	O	prothrombin
18	123	126	O	test
19	128	137	O	monitoring
20	139	144	O	during
21	146	149	O	oral
22	151	163	U-UNK	anticoagulant
23	165	171	O	therapy
NULL

1109299.xml	DDI-MedLine.d77.s0	NO_SECTION	NO_SETID	16
Effects of low temperatures on microtubules in the non-myelinated axons of post-ganglionic sympathetic nerves.
1	0	6	O	Effects
2	8	9	O	of
3	11	13	O	low
4	15	26	O	temperatures
5	28	29	O	on
6	31	42	O	microtubules
7	44	45	O	in
8	47	49	O	the
9	51	53	O	non
10	55	64	O	myelinated
11	66	70	O	axons
12	72	73	O	of
13	75	78	O	post
14	80	89	O	ganglionic
15	91	101	O	sympathetic
16	103	108	O	nerves
NULL

1109299.xml	DDI-MedLine.d77.s1	NO_SECTION	NO_SETID	39
The effect of temperature changes on the number of microtubules in non-myelinated axons has been studied in cat inferior mesenteric ganglion/hypogastric nerve preparations incubated at various temperatures in Eagles minimal essential tissue culture medium in vitro.
1	0	2	O	The
2	4	9	O	effect
3	11	12	O	of
4	14	24	O	temperature
5	26	32	O	changes
6	34	35	O	on
7	37	39	O	the
8	41	46	O	number
9	48	49	O	of
10	51	62	O	microtubules
11	64	65	O	in
12	67	69	O	non
13	71	80	O	myelinated
14	82	86	O	axons
15	88	90	O	has
16	92	95	O	been
17	97	103	O	studied
18	105	106	O	in
19	108	110	O	cat
20	112	119	O	inferior
21	121	130	O	mesenteric
22	132	139	O	ganglion
23	140	140	O	/
24	141	151	O	hypogastric
25	153	157	O	nerve
26	159	170	O	preparations
27	172	180	O	incubated
28	182	183	O	at
29	185	191	O	various
30	193	204	O	temperatures
31	206	207	O	in
32	209	214	O	Eagles
33	216	222	O	minimal
34	224	232	O	essential
35	234	239	O	tissue
36	241	247	O	culture
37	249	254	O	medium
38	256	257	O	in
39	259	263	O	vitro
NULL

1109299.xml	DDI-MedLine.d77.s2	NO_SECTION	NO_SETID	15
At 37 degrees C the non-myelinated axons contained 28.4 plus or minus 0.8 S.E.M.
1	0	1	O	At
2	3	4	O	37
3	6	12	O	degrees
4	14	14	O	C
5	16	18	O	the
6	20	22	O	non
7	24	33	O	myelinated
8	35	39	O	axons
9	41	49	O	contained
10	51	54	O	28.4
11	56	59	O	plus
12	61	62	O	or
13	64	68	O	minus
14	70	72	O	0.8
15	74	78	O	S.E.M
NULL

1109299.xml	DDI-MedLine.d77.s3	NO_SECTION	NO_SETID	4
(54) microtubules per axon.
1	1	2	O	54
2	5	16	O	microtubules
3	18	20	O	per
4	22	25	O	axon
NULL

1109299.xml	DDI-MedLine.d77.s4	NO_SECTION	NO_SETID	19
After incubation at 0 degrees C for 4 h this number fell to 2.3 plus or minus 0.1 S.E.M.
1	0	4	O	After
2	6	15	O	incubation
3	17	18	O	at
4	20	20	O	0
5	22	28	O	degrees
6	30	30	O	C
7	32	34	O	for
8	36	36	O	4
9	38	38	O	h
10	40	43	O	this
11	45	50	O	number
12	52	55	O	fell
13	57	58	O	to
14	60	62	O	2.3
15	64	67	O	plus
16	69	70	O	or
17	72	76	O	minus
18	78	80	O	0.1
19	82	86	O	S.E.M
NULL

1109299.xml	DDI-MedLine.d77.s5	NO_SECTION	NO_SETID	11
(41) but returned to normal levels when the nerves were rewarmed.
1	1	2	O	41
2	5	7	O	but
3	9	16	O	returned
4	18	19	O	to
5	21	26	O	normal
6	28	33	O	levels
7	35	38	O	when
8	40	42	O	the
9	44	49	O	nerves
10	51	54	O	were
11	56	63	O	rewarmed
NULL

1109299.xml	DDI-MedLine.d77.s6	NO_SECTION	NO_SETID	17
This loss of microtubules on cooling the nerves and their reappearance on rewarming was a rapid process;
1	0	3	O	This
2	5	8	O	loss
3	10	11	O	of
4	13	24	O	microtubules
5	26	27	O	on
6	29	35	O	cooling
7	37	39	O	the
8	41	46	O	nerves
9	48	50	O	and
10	52	56	O	their
11	58	69	O	reappearance
12	71	72	O	on
13	74	82	O	rewarming
14	84	86	O	was
15	88	88	O	a
16	90	94	O	rapid
17	96	102	O	process
NULL

1109299.xml	DDI-MedLine.d77.s7	NO_SECTION	NO_SETID	18
it was independent of the influence of the nueronal cell body and of protein synthesis within the axon.
1	0	1	O	it
2	3	5	O	was
3	7	17	O	independent
4	19	20	O	of
5	22	24	O	the
6	26	34	O	influence
7	36	37	O	of
8	39	41	O	the
9	43	50	O	nueronal
10	52	55	O	cell
11	57	60	O	body
12	62	64	O	and
13	66	67	O	of
14	69	75	O	protein
15	77	85	O	synthesis
16	87	92	O	within
17	94	96	O	the
18	98	101	O	axon
NULL

1109299.xml	DDI-MedLine.d77.s8	NO_SECTION	NO_SETID	15
